,target_kcat,abs_pearson
SR_3_burunsat_pm,-0.014681910560411494,0.014681910560411494
SR_3_hbond_pm,0.014681910560411494,0.014681910560411494
SR_1_hbond_pm,0.014681910560411494,0.014681910560411494
SR_1_burunsat_pm,-0.014681910560411494,0.014681910560411494
tot_burunsat_pm,0.01647535657330585,0.01647535657330585
SR_4_pstat_pm,-0.01705302061032721,0.01705302061032721
SR_5_hbond_pm,-0.025195046524336146,0.025195046524336146
SR_2_pstat_pm,-0.02673255726867356,0.02673255726867356
SR_2_hbond_pm,-0.029031908528749376,0.029031908528749376
SR_2_burunsat_pm,0.0290319085287499,0.0290319085287499
SR_4_hbond_pm,0.03704852251657428,0.03704852251657428
SR_5_hbond_sc,-0.043053337449569774,0.043053337449569774
hbond_sc,-0.05120446768230253,0.05120446768230253
SR_5_total_score,-0.05695110901513557,0.05695110901513557
SR_5_interf_E_1_2,-0.05899112197641347,0.05899112197641347
SR_2_total_score,0.06233201637594486,0.06233201637594486
tot_NLconts_pm,0.06345088158223985,0.06345088158223985
SR_3_pstat_pm,-0.07814303999281742,0.07814303999281742
SR_1_pstat_pm,-0.07814303999281742,0.07814303999281742
SR_1_nlpstat_pm,-0.08548794676752067,0.08548794676752067
SR_3_nlpstat_pm,-0.08548794676752067,0.08548794676752067
total_score,-0.1781215408520935,0.1781215408520935
tot_hbond_pm,0.20060527501787065,0.20060527501787065
fa_rep,0.2120308818510448,0.2120308818510448
