,target_kcatkm,abs_pearson
hbond_sc,0.009402638473024758,0.009402638473024758
hbond_sr_bb,-0.010955318886767061,0.010955318886767061
hbond_bb_sc,-0.03818827276010066,0.03818827276010066
p_aa_pp,-0.04133291775069157,0.04133291775069157
fa_elec,0.08673534548909549,0.08673534548909549
rama,0.09372752159065172,0.09372752159065172
yhh_planarity,-0.11461988062119598,0.11461988062119598
omega,0.12283322917821275,0.12283322917821275
fa_sol,0.13101852543399042,0.13101852543399042
ref,-0.17327863134495555,0.17327863134495555
total,-0.19590203724448577,0.19590203724448577
fa_dun,0.2185942463888391,0.2185942463888391
hbond_lr_bb,0.24010972863447627,0.24010972863447627
fa_rep,0.27264530765835726,0.27264530765835726
fa_atr,-0.3828629908315933,0.3828629908315933
