,target_km,abs_pearson
fa_dun,-0.009410648062264935,0.009410648062264935
hbond_lr_bb,0.015406972179974757,0.015406972179974757
omega,0.0321860321314457,0.0321860321314457
p_aa_pp,0.0585185537366167,0.0585185537366167
ref,0.06245110610156152,0.06245110610156152
hbond_bb_sc,0.06819094352431712,0.06819094352431712
fa_elec,0.08443163540059562,0.08443163540059562
total,-0.09409681510020487,0.09409681510020487
yhh_planarity,-0.10460970491279045,0.10460970491279045
hbond_sc,-0.11720778781826242,0.11720778781826242
fa_sol,0.13640504119957314,0.13640504119957314
rama,0.1462939050297638,0.1462939050297638
hbond_sr_bb,-0.17315351620322667,0.17315351620322667
fa_atr,-0.2785300436705089,0.2785300436705089
fa_rep,0.34182703138996506,0.34182703138996506
