,target_km,abs_pearson
SR_5_hbond_sc,-0.0010348437948048044,0.0010348437948048044
tot_NLconts_pm,-0.009478341916140415,0.009478341916140415
SR_5_hbond_pm,0.01028074191878396,0.01028074191878396
SR_3_pstat_pm,0.01651332730395629,0.01651332730395629
SR_1_pstat_pm,0.01651332730395629,0.01651332730395629
SR_2_burunsat_pm,-0.019940920005871818,0.019940920005871818
SR_2_hbond_pm,0.019940920005872505,0.019940920005872505
SR_1_burunsat_pm,0.03068467678788391,0.03068467678788391
SR_1_hbond_pm,-0.03068467678788391,0.03068467678788391
SR_3_hbond_pm,-0.03068467678788391,0.03068467678788391
SR_3_burunsat_pm,0.03068467678788391,0.03068467678788391
total_score,-0.04363110264511112,0.04363110264511112
tot_burunsat_pm,-0.04647952001948819,0.04647952001948819
SR_5_interf_E_1_2,-0.0502902268398993,0.0502902268398993
SR_5_total_score,-0.05123948596577579,0.05123948596577579
SR_4_hbond_pm,-0.06202408488775126,0.06202408488775126
tot_hbond_pm,-0.08982882096507884,0.08982882096507884
fa_rep,-0.10016280845835458,0.10016280845835458
SR_4_pstat_pm,0.11672460668387191,0.11672460668387191
hbond_sc,0.1233186991134371,0.1233186991134371
SR_2_total_score,-0.12973873160834112,0.12973873160834112
SR_1_nlpstat_pm,0.14297827375639016,0.14297827375639016
SR_3_nlpstat_pm,0.14297827375639016,0.14297827375639016
SR_2_pstat_pm,-0.2752358563045188,0.2752358563045188
